LOCATION,Country,INDICATOR,Indicator,SEX,Sex,AGE,Age,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2009,2009,PC,Percentage,0,Units,,,17.10000038,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2010,2010,PC,Percentage,0,Units,,,19.20000076,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2011,2011,PC,Percentage,0,Units,,,17.39999962,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2012,2012,PC,Percentage,0,Units,,,18.89999962,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,14.39999962,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,12.19999981,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2015,2015,PC,Percentage,0,Units,,,8.699999809,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2016,2016,PC,Percentage,0,Units,,,8.300000191,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2017,2017,PC,Percentage,0,Units,,,8.199999809,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1985,1985,PC,Percentage,0,Units,,,4.400000095,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1986,1986,PC,Percentage,0,Units,,,4.699999809,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1987,1987,PC,Percentage,0,Units,,,5.699999809,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1988,1988,PC,Percentage,0,Units,,,6,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1989,1989,PC,Percentage,0,Units,,,6.5,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1990,1990,PC,Percentage,0,Units,,,6.400000095,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1991,1991,PC,Percentage,0,Units,,,7.199999809,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1992,1992,PC,Percentage,0,Units,,,8,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1993,1993,PC,Percentage,0,Units,,,9.100000382,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1994,1994,PC,Percentage,0,Units,,,9.800000191,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1995,1995,PC,Percentage,0,Units,,,10,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1996,1996,PC,Percentage,0,Units,,,9.600000382,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1997,1997,PC,Percentage,0,Units,,,9.399999619,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1998,1998,PC,Percentage,0,Units,,,9.699999809,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1999,1999,PC,Percentage,0,Units,,,10.89999962,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2000,2000,PC,Percentage,0,Units,,,11.80000019,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2001,2001,PC,Percentage,0,Units,,,12.39999962,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2002,2002,PC,Percentage,0,Units,,,12.10000038,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2003,2003,PC,Percentage,0,Units,,,11.39999962,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2004,2004,PC,Percentage,0,Units,,,11,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2005,2005,PC,Percentage,0,Units,,,10.80000019,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2006,2006,PC,Percentage,0,Units,,,11.10000038,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2007,2007,PC,Percentage,0,Units,,,11.69999981,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2008,2008,PC,Percentage,0,Units,,,11.5,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2009,2009,PC,Percentage,0,Units,,,11.30000019,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2010,2010,PC,Percentage,0,Units,,,10.69999981,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2011,2011,PC,Percentage,0,Units,,,11,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2012,2012,PC,Percentage,0,Units,,,11.10000038,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,11.39999962,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,11.5,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2015,2015,PC,Percentage,0,Units,,,11.60000038,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2016,2016,PC,Percentage,0,Units,,,11.39999962,,
AUS,Australia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2017,2017,PC,Percentage,0,Units,,,11.39999962,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1985,1985,PC,Percentage,0,Units,,,1.200000048,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1986,1986,PC,Percentage,0,Units,,,1.299999952,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1987,1987,PC,Percentage,0,Units,,,1.299999952,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1988,1988,PC,Percentage,0,Units,,,1.899999976,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1989,1989,PC,Percentage,0,Units,,,2.099999905,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1990,1990,PC,Percentage,0,Units,,,2.200000048,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1991,1991,PC,Percentage,0,Units,,,2.200000048,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1992,1992,PC,Percentage,0,Units,,,2.599999905,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1993,1993,PC,Percentage,0,Units,,,2.700000048,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1994,1994,PC,Percentage,0,Units,,,2.799999952,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1995,1995,PC,Percentage,0,Units,,,2.900000095,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1996,1996,PC,Percentage,0,Units,,,3.099999905,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1997,1997,PC,Percentage,0,Units,,,3.200000048,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1998,1998,PC,Percentage,0,Units,,,3.099999905,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1999,1999,PC,Percentage,0,Units,,,3.299999952,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2000,2000,PC,Percentage,0,Units,,,3.599999905,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2001,2001,PC,Percentage,0,Units,,,3.900000095,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2002,2002,PC,Percentage,0,Units,,,4.199999809,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2003,2003,PC,Percentage,0,Units,,,4.400000095,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2004,2004,PC,Percentage,0,Units,,,4.199999809,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2005,2005,PC,Percentage,0,Units,,,4.599999905,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2006,2006,PC,Percentage,0,Units,,,5,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2007,2007,PC,Percentage,0,Units,,,5.5,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2008,2008,PC,Percentage,0,Units,,,5.599999905,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2009,2009,PC,Percentage,0,Units,,,5.599999905,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2010,2010,PC,Percentage,0,Units,,,5.599999905,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2011,2011,PC,Percentage,0,Units,,,5.400000095,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2012,2012,PC,Percentage,0,Units,,,5.400000095,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,5.400000095,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,5.599999905,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2015,2015,PC,Percentage,0,Units,,,5.5,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2016,2016,PC,Percentage,0,Units,,,5.400000095,,
AUT,Austria,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2017,2017,PC,Percentage,0,Units,,,5.099999905,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1985,1985,PC,Percentage,0,Units,,,4.400000095,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1986,1986,PC,Percentage,0,Units,,,4.5,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1987,1987,PC,Percentage,0,Units,,,5.699999809,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1988,1988,PC,Percentage,0,Units,,,6.099999905,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1989,1989,PC,Percentage,0,Units,,,6.800000191,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1990,1990,PC,Percentage,0,Units,,,6.699999809,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1991,1991,PC,Percentage,0,Units,,,7,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1992,1992,PC,Percentage,0,Units,,,6.699999809,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1993,1993,PC,Percentage,0,Units,,,7.099999905,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1994,1994,PC,Percentage,0,Units,,,7.599999905,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1995,1995,PC,Percentage,0,Units,,,8.300000191,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1996,1996,PC,Percentage,0,Units,,,8.899999619,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1997,1997,PC,Percentage,0,Units,,,9.5,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1998,1998,PC,Percentage,0,Units,,,11.19999981,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1999,1999,PC,Percentage,0,Units,,,12.19999981,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2000,2000,PC,Percentage,0,Units,,,12.39999962,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2001,2001,PC,Percentage,0,Units,,,11.80000019,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2002,2002,PC,Percentage,0,Units,,,11.10000038,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2003,2003,PC,Percentage,0,Units,,,11.39999962,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2004,2004,PC,Percentage,0,Units,,,11.30000019,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2005,2005,PC,Percentage,0,Units,,,12.19999981,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2006,2006,PC,Percentage,0,Units,,,12.60000038,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2007,2007,PC,Percentage,0,Units,,,13.30000019,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2008,2008,PC,Percentage,0,Units,,,13.60000038,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2009,2009,PC,Percentage,0,Units,,,13.69999981,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2010,2010,PC,Percentage,0,Units,,,14.19999981,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2011,2011,PC,Percentage,0,Units,,,13.39999962,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2012,2012,PC,Percentage,0,Units,,,12.69999981,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,11.69999981,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,12.5,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2015,2015,PC,Percentage,0,Units,,,13,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2016,2016,PC,Percentage,0,Units,,,13.30000019,,
BEL,Belgium,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2017,2017,PC,Percentage,0,Units,,,13.10000038,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1985,1985,PC,Percentage,0,Units,,,4.199999809,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1986,1986,PC,Percentage,0,Units,,,4.199999809,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1987,1987,PC,Percentage,0,Units,,,4.099999905,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1988,1988,PC,Percentage,0,Units,,,5.300000191,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1989,1989,PC,Percentage,0,Units,,,5.699999809,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1990,1990,PC,Percentage,0,Units,,,6.800000191,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1991,1991,PC,Percentage,0,Units,,,6.900000095,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1992,1992,PC,Percentage,0,Units,,,8.600000382,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1993,1993,PC,Percentage,0,Units,,,9.300000191,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1994,1994,PC,Percentage,0,Units,,,9,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1995,1995,PC,Percentage,0,Units,,,8.300000191,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1996,1996,PC,Percentage,0,Units,,,9.699999809,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1997,1997,PC,Percentage,0,Units,,,10.10000038,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1998,1998,PC,Percentage,0,Units,,,12,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1999,1999,PC,Percentage,0,Units,,,11.30000019,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2000,2000,PC,Percentage,0,Units,,,12,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2001,2001,PC,Percentage,0,Units,,,11.69999981,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2002,2002,PC,Percentage,0,Units,,,12.89999962,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2003,2003,PC,Percentage,0,Units,,,15.19999981,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2004,2004,PC,Percentage,0,Units,,,16,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2005,2005,PC,Percentage,0,Units,,,16.89999962,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2006,2006,PC,Percentage,0,Units,,,17.60000038,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2007,2007,PC,Percentage,0,Units,,,17.10000038,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2008,2008,PC,Percentage,0,Units,,,18,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2009,2009,PC,Percentage,0,Units,,,16.39999962,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2010,2010,PC,Percentage,0,Units,,,15.69999981,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2011,2011,PC,Percentage,0,Units,,,15.5,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2012,2012,PC,Percentage,0,Units,,,14.89999962,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,14.60000038,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,13.30000019,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2015,2015,PC,Percentage,0,Units,,,13.69999981,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2016,2016,PC,Percentage,0,Units,,,14,,
BRA,Brazil,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2017,2017,PC,Percentage,0,Units,,,13.5,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1985,1985,PC,Percentage,0,Units,,,4.900000095,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1986,1986,PC,Percentage,0,Units,,,5.300000191,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1987,1987,PC,Percentage,0,Units,,,5.699999809,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1988,1988,PC,Percentage,0,Units,,,6,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1989,1989,PC,Percentage,0,Units,,,6.5,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1990,1990,PC,Percentage,0,Units,,,7.099999905,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1991,1991,PC,Percentage,0,Units,,,7.5,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1992,1992,PC,Percentage,0,Units,,,7.199999809,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1993,1993,PC,Percentage,0,Units,,,7.699999809,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1994,1994,PC,Percentage,0,Units,,,7.699999809,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1995,1995,PC,Percentage,0,Units,,,8.100000382,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1996,1996,PC,Percentage,0,Units,,,8.800000191,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1997,1997,PC,Percentage,0,Units,,,9.300000191,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1998,1998,PC,Percentage,0,Units,,,10.10000038,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1999,1999,PC,Percentage,0,Units,,,10.30000019,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2000,2000,PC,Percentage,0,Units,,,10.80000019,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2001,2001,PC,Percentage,0,Units,,,11.10000038,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2002,2002,PC,Percentage,0,Units,,,11.19999981,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2003,2003,PC,Percentage,0,Units,,,11.60000038,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2004,2004,PC,Percentage,0,Units,,,12.10000038,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2005,2005,PC,Percentage,0,Units,,,12.10000038,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2006,2006,PC,Percentage,0,Units,,,11.89999962,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2007,2007,PC,Percentage,0,Units,,,12.10000038,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2008,2008,PC,Percentage,0,Units,,,12.60000038,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2009,2009,PC,Percentage,0,Units,,,12.69999981,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2010,2010,PC,Percentage,0,Units,,,12.10000038,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2011,2011,PC,Percentage,0,Units,,,11.89999962,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2012,2012,PC,Percentage,0,Units,,,11.89999962,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,12.19999981,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,12.19999981,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2015,2015,PC,Percentage,0,Units,,,12.39999962,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2016,2016,PC,Percentage,0,Units,,,12.30000019,,
CAN,Canada,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2017,2017,PC,Percentage,0,Units,,,12.10000038,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2004,2004,PC,Percentage,0,Units,,,7.800000191,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2005,2005,PC,Percentage,0,Units,,,9.5,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2006,2006,PC,Percentage,0,Units,,,16.20000076,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2007,2007,PC,Percentage,0,Units,,,19.60000038,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2008,2008,PC,Percentage,0,Units,,,22.60000038,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2009,2009,PC,Percentage,0,Units,,,23.39999962,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2010,2010,PC,Percentage,0,Units,,,23.60000038,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2011,2011,PC,Percentage,0,Units,,,24.79999924,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2012,2012,PC,Percentage,0,Units,,,20.29999924,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,21.60000038,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,21.39999962,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2015,2015,PC,Percentage,0,Units,,,26,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2016,2016,PC,Percentage,0,Units,,,26.20000076,,
CHL,Chile,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2017,2017,PC,Percentage,0,Units,,,26.79999924,,
COL,Colombia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2010,2010,PC,Percentage,0,Units,,,11.10000038,,
COL,Colombia,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2011,2011,PC,Percentage,0,Units,,,13.39999962,,
