LOCATION,Country,INDICATOR,Indicator,SEX,Sex,AGE,Age,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ITA,Italy,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,37.047,,
JPN,Japan,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,22.411,,
JPN,Japan,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,37.107,,
KOR,Korea,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,35.202,,
KOR,Korea,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,56.756,,
LUX,Luxembourg,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,21.791,,
LUX,Luxembourg,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,35.479,,
MEX,Mexico,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,61.441,,
MEX,Mexico,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,62.801,,
NLD,Netherlands,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,32.132,,
NLD,Netherlands,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,40.292,,
NZL,New Zealand,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,46.684,,
NZL,New Zealand,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,58.695,,
POL,Poland,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,38.531,,
POL,Poland,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,48.289,,
PRT,Portugal,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,37.777,,
PRT,Portugal,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,51.287,,
RUS,Russia,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,28.611,,
RUS,Russia,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,37.263,,
SVK,Slovak Republic,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,31.29,,
SVK,Slovak Republic,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,47.619,,
SVN,Slovenia,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,45.267,,
SVN,Slovenia,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,65.495,,
SWE,Sweden,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,17.185,,
SWE,Sweden,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,31.104,,
TUR,Turkey,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,47.033,,
TUR,Turkey,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,55.885,,
USA,United States,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,57.346,,
USA,United States,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,70.24,,
ZAF,South Africa,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,66.905,,
ZAF,South Africa,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,66.235,,
